Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
Morehouse College,2690.0,488.0,25468.0,47345.0,1000+,1000+
Oglethorpe University,4403.0,282.0,31280.0,46430.0,1000+,1000+
Paine College,2771.0,268.0,13332.0,23850.0,1000+,1000+
Piedmont College,850.0,255.0,20730.0,34090.0,1000+,1000+
Reinhardt University,1111.0,396.0,18670.0,32794.0,1000+,1000+
Savannah State University,2922.0,1301.0,5415.0,25935.0,1000+,1000+
Shorter University,1597.0,309.0,19670.0,33230.0,1000+,1000+
Spelman College,6081.0,523.0,24634.0,42879.0,1000+,1000+
Southern Polytechnic State University,1689.0,797.0,5732.0,29890.0,1000+,1000+
Thomas University,153.0,66.0,14740.0,24860.0,1000+,1000+
Toccoa Falls College,1253.0,178.0,19000.0,31792.0,1000+,1000+
Truett-McConnell College,470.0,204.0,16610.0,28410.0,1000+,1000+
Valdosta State University,5701.0,1734.0,5889.0,31671.0,1000+,1000+
Wesleyan College,779.0,117.0,19775.0,32375.0,1000+,1000+
University of West Georgia,7266.0,2214.0,5837.0,31365.0,1000+,1000+
Chaminade University of Honolulu,914.0,267.0,20090.0,35309.0,1000+,1000+
University of Hawaii at Hilo,1633.0,461.0,6536.0,29086.0,1000+,1000+
University of Hawaii at Manoa,6901.0,1981.0,9904.0,40564.0,301-400,top 1000
Hawaii Pacific University,4207.0,591.0,20180.0,36590.0,1000+,1000+
Boise State University,7832.0,2205.0,6292.0,33544.0,1000+,1000+
University of Idaho,7455.0,1643.0,6524.0,32674.0,601-700,top 1000
The College of Idaho,1116.0,292.0,24055.0,35456.0,1000+,1000+
Lewis-Clark State College,861.0,475.0,5786.0,27736.0,1000+,1000+
Northwest Nazarene University,1227.0,261.0,26550.0,36550.0,1000+,1000+
Brigham Young University-Idaho,6690.0,3448.0,3850.0,11398.0,1000+,1000+
Augustana College,5831.0,627.0,35835.0,47137.0,1000+,1000+
Aurora University,2536.0,646.0,20720.0,33228.0,1000+,1000+
Blackburn College,528.0,116.0,18506.0,26616.0,1000+,1000+
Bradley University,8969.0,1085.0,29664.0,42090.0,1000+,1000+
Chicago State University,5219.0,276.0,9032.0,29594.0,1000+,1000+
University of Chicago,30304.0,1426.0,47514.0,64988.0,10,top 1000
Columbia College-Chicago,8005.0,2161.0,22792.0,40677.0,1000+,1000+
Concordia University-Chicago,3692.0,376.0,27598.0,38862.0,1000+,1000+
DePaul University,19957.0,2425.0,33990.0,49367.0,1000+,1000+
Eastern Illinois University,7881.0,1333.0,11144.0,42118.0,1000+,1000+
Elmhurst College,2702.0,506.0,32920.0,46000.0,1000+,1000+
Eureka College,960.0,138.0,20060.0,30900.0,1000+,1000+
Greenville College,1723.0,277.0,23612.0,34641.0,1000+,1000+
University of Illinois at Chicago,14603.0,3104.0,13410.0,41710.0,301-400,top 1000
Benedictine University,2108.0,635.0,25516.0,37636.0,1000+,1000+
University of Illinois at Urbana-Champaign,33203.0,7329.0,14750.0,43468.0,49,top 1000
Illinois Wesleyan University,3556.0,529.0,39316.0,50352.0,1000+,1000+
Illinois College,2560.0,270.0,27800.0,39040.0,1000+,1000+
Illinois Institute of Technology,2840.0,465.0,40117.0,54677.0,901-1000,top 1000
