Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
SUNY at Binghamton,28232.0,2664.0,8144.0,33152.0,1000+,1000+
University at Buffalo,23093.0,3669.0,8211.0,35256.0,1000+,1000+
Stony Brook University,30300.0,2709.0,7995.0,34067.0,301-400,top 1000
SUNY College of Environmental Science and Forestry,1538.0,288.0,7033.0,33543.0,901-1000,top 1000
SUNY Institute of Technology at Utica-Rome,1954.0,274.0,7090.0,32515.0,1000+,1000+
SUNY College at Brockport,8570.0,1085.0,7222.0,30402.0,1000+,1000+
Buffalo State SUNY,11256.0,1324.0,7022.0,30853.0,1000+,1000+
SUNY College at Cortland,11518.0,1207.0,7327.0,32084.0,1000+,1000+
SUNY at Fredonia,5883.0,1007.0,7400.0,31088.0,1000+,1000+
SUNY College at Geneseo,9164.0,997.0,7430.0,31122.0,1000+,1000+
State University of New York at New Paltz,12892.0,1119.0,7083.0,30853.0,1000+,1000+
SUNY Oneonta,10261.0,1119.0,7230.0,31130.0,1000+,1000+
SUNY College at Oswego,10351.0,1508.0,7181.0,31441.0,1000+,1000+
SUNY College at Potsdam,4764.0,821.0,7174.0,30559.0,1000+,1000+
SUNY at Purchase College,8405.0,775.0,7573.0,34122.0,1000+,1000+
SUNY College at Old Westbury,3341.0,410.0,6624.0,28534.0,1000+,1000+
SUNY College at Plattsburgh,8193.0,954.0,7179.0,30759.0,1000+,1000+
SUNY Maritime College,1279.0,331.0,7109.0,32064.0,1000+,1000+
Syracuse University,28269.0,3487.0,40458.0,57450.0,701-800,top 1000
Touro College,1732.0,859.0,15250.0,28472.0,1000+,1000+
Union College,5725.0,559.0,46785.0,60150.0,1000+,1000+
Utica College,3689.0,489.0,33320.0,48650.0,1000+,1000+
Vassar College,7597.0,666.0,47890.0,61320.0,1000+,1000+
Wagner College,2942.0,430.0,39220.0,53924.0,1000+,1000+
Wells College,2214.0,161.0,35900.0,49800.0,1000+,1000+
Yeshiva University,1575.0,857.0,37600.0,55075.0,1000+,1000+
Appalachian State University,12248.0,3028.0,6462.0,31266.0,1000+,1000+
Barton College,2933.0,217.0,25396.0,39254.0,1000+,1000+
Belmont Abbey College,2197.0,283.0,18500.0,32564.0,1000+,1000+
Bennett College,1639.0,194.0,17355.0,31035.0,1000+,1000+
Brevard College,2299.0,245.0,25200.0,37000.0,1000+,1000+
Campbell University,11714.0,788.0,26240.0,42580.0,1000+,1000+
Catawba College,3226.0,342.0,26820.0,40743.0,1000+,1000+
Chowan University,3708.0,474.0,22510.0,31780.0,1000+,1000+
Davidson College,4745.0,483.0,42849.0,57458.0,1000+,1000+
Duke University,30374.0,1714.0,45376.0,61748.0,31,top 1000
East Carolina University,15535.0,4015.0,6143.0,34944.0,1000+,1000+
Elizabeth City State University,3925.0,527.0,4429.0,24018.0,1000+,1000+
Elon University,9949.0,1474.0,30149.0,43546.0,1000+,1000+
Fayetteville State University,4010.0,612.0,4605.0,25650.0,1000+,1000+
Gardner-Webb University,5481.0,435.0,25830.0,37620.0,1000+,1000+
Greensboro College,1314.0,200.0,26306.0,39376.0,1000+,1000+
Guilford College,3030.0,407.0,32470.0,45395.0,1000+,1000+
High Point University,7663.0,1257.0,30715.0,43900.0,1000+,1000+
Johnson C Smith University,4777.0,232.0,18236.0,32136.0,1000+,1000+
Lees-McRae College,1751.0,226.0,24150.0,39250.0,1000+,1000+
Lenoir-Rhyne University,4762.0,310.0,29310.0,43360.0,1000+,1000+
Livingstone College,3270.0,395.0,16024.0,25920.0,1000+,1000+
Mars Hill University,2899.0,419.0,25636.0,38224.0,1000+,1000+
Meredith College,1762.0,415.0,30562.0,41878.0,1000+,1000+
Methodist University,4079.0,452.0,27830.0,47311.0,1000+,1000+
Montreat College,700.0,109.0,23520.0,35690.0,1000+,1000+
Mount Olive College,2117.0,333.0,17300.0,27850.0,1000+,1000+
North Carolina A & T State University,4480.0,1849.0,5422.0,27010.0,1000+,1000+
University of North Carolina at Asheville,3036.0,553.0,6241.0,32587.0,1000+,1000+
University of North Carolina at Chapel Hill,28437.0,3915.0,8340.0,45806.0,29,top 1000
University of North Carolina at Charlotte,13742.0,3541.0,6107.0,31609.0,1000+,1000+
University of North Carolina at Greensboro,10112.0,2516.0,6382.0,32970.0,801-900,top 1000
North Carolina Central University,8886.0,1407.0,5526.0,29120.0,1000+,1000+
North Carolina State University at Raleigh,20700.0,4398.0,8206.0,35639.0,1000+,1000+
North Carolina Wesleyan College,1634.0,222.0,26632.0,37812.0,1000+,1000+
University of North Carolina Wilmington,11184.0,2053.0,6343.0,32738.0,1000+,1000+
William Peace University,1083.0,328.0,23900.0,38900.0,1000+,1000+
University of North Carolina at Pembroke,3087.0,1020.0,5144.0,26829.0,1000+,1000+
Pfeiffer University,1662.0,218.0,24150.0,37140.0,1000+,1000+
Queens University of Charlotte,1949.0,316.0,29800.0,44124.0,1000+,1000+
Mid-Atlantic Christian University,168.0,37.0,12160.0,25090.0,1000+,1000+
Saint Augustine's University,2560.0,327.0,17890.0,31642.0,1000+,1000+
Salem College,854.0,174.0,24566.0,41600.0,1000+,1000+
Shaw University,6207.0,507.0,16480.0,29378.0,1000+,1000+
St Andrews University,898.0,178.0,23332.0,40000.0,1000+,1000+
Wake Forest University,11121.0,1232.0,44742.0,60242.0,501-600,top 1000
Warren Wilson College,1214.0,220.0,29540.0,43000.0,1000+,1000+
Wingate University,5323.0,642.0,25040.0,37740.0,1000+,1000+
Winston-Salem State University,5164.0,685.0,5468.0,25521.0,1000+,1000+
Western Carolina University,15231.0,1558.0,6265.0,28196.0,1000+,1000+
Dickinson State University,417.0,165.0,5846.0,18396.0,1000+,1000+
University of Jamestown,1088.0,261.0,18494.0,28738.0,1000+,1000+
University of Mary,945.0,440.0,14730.0,24121.0,1000+,1000+
Minot State University,959.0,397.0,6086.0,16196.0,1000+,1000+
University of North Dakota,5404.0,2360.0,7508.0,31448.0,1000+,1000+
North Dakota State University-Main Campus,5812.0,2553.0,7660.0,30042.0,1000+,1000+
Valley City State University,345.0,186.0,6516.0,25066.0,1000+,1000+
University of Akron Main Campus,10575.0,3812.0,10054.0,32320.0,1000+,1000+
Ashland University,2931.0,623.0,29836.0,42833.0,1000+,1000+
Baldwin Wallace University,4220.0,762.0,27840.0,39230.0,1000+,1000+
Bluffton University,1784.0,250.0,28504.0,41864.0,1000+,1000+
Bowling Green State University-Main Campus,15689.0,3348.0,10726.0,30814.0,1000+,1000+
Capital University,3640.0,691.0,31990.0,44350.0,1000+,1000+
Case Western Reserve University,18418.0,1252.0,41800.0,57798.0,101-150,top 1000
Cedarville University,3267.0,781.0,26420.0,35020.0,1000+,1000+
Central State University,7142.0,420.0,6058.0,25256.0,1000+,1000+
University of Cincinnati-Main Campus,16002.0,4486.0,10784.0,42466.0,1000+,1000+
Ohio Christian University,1455.0,719.0,17720.0,33418.0,1000+,1000+
Cleveland State University,6768.0,1727.0,9499.0,28496.0,1000+,1000+
University of Dayton,15719.0,1761.0,35800.0,49540.0,1000+,1000+
Defiance College,1704.0,241.0,28690.0,41700.0,1000+,1000+
Denison University,4770.0,582.0,43910.0,56520.0,1000+,1000+
The University of Findlay,2260.0,581.0,29798.0,41306.0,1000+,1000+
Hiram College,2542.0,290.0,30290.0,43145.0,1000+,1000+
John Carroll University,3721.0,793.0,34480.0,48310.0,1000+,1000+
Kent State University at Kent,15970.0,4111.0,9816.0,32886.0,1000+,1000+
Kenyon College,4054.0,483.0,45640.0,60070.0,1000+,1000+
Lake Erie College,1158.0,205.0,27368.0,40364.0,1000+,1000+
Lourdes University,1307.0,227.0,17655.0,31157.0,1000+,1000+
Malone University,1333.0,316.0,25678.0,37934.0,1000+,1000+
Marietta College,4168.0,385.0,31940.0,44362.0,1000+,1000+
Miami University-Oxford,22520.0,3644.0,13800.0,45491.0,1000+,1000+
University of Mount Union,2660.0,552.0,27380.0,38895.0,1000+,1000+
Mount Vernon Nazarene University,1279.0,302.0,23690.0,35020.0,1000+,1000+
College of Mount St Joseph,1197.0,324.0,25800.0,35880.0,1000+,1000+
Muskingum University,2001.0,405.0,23662.0,35694.0,1000+,1000+
Notre Dame College,2468.0,338.0,26344.0,38502.0,1000+,1000+
Oberlin College,7438.0,781.0,46870.0,62132.0,1000+,1000+
Ohio Dominican University,2652.0,239.0,28932.0,42087.0,1000+,1000+
Ohio Northern University,3325.0,613.0,36720.0,50960.0,1000+,1000+
Ohio State University-Main Campus,31359.0,7130.0,10037.0,41199.0,1000+,1000+
Ohio University-Main Campus,20765.0,4244.0,10446.0,33360.0,1000+,1000+
Ohio Wesleyan University,4029.0,541.0,40510.0,55690.0,1000+,1000+
Otterbein University,3176.0,575.0,31424.0,44276.0,1000+,1000+
Franciscan University of Steubenville,1889.0,460.0,23160.0,34490.0,1000+,1000+
Tiffin University,5228.0,1313.0,20700.0,36481.0,1000+,1000+
University of Toledo,11066.0,3428.0,9275.0,33229.0,701-800,top 1000
Ursuline College,441.0,103.0,26720.0,38344.0,1000+,1000+
Walsh University,1640.0,493.0,25840.0,39390.0,1000+,1000+
Wilberforce University,1534.0,69.0,15140.0,26890.0,1000+,1000+
Wilmington College,3780.0,275.0,28190.0,40057.0,1000+,1000+
Wittenberg University,5274.0,549.0,38030.0,50766.0,1000+,1000+
The College of Wooster,5583.0,560.0,41680.0,53500.0,1000+,1000+
Xavier University,10907.0,1289.0,33000.0,46520.0,1000+,1000+
Bacone College,2445.0,249.0,14050.0,28010.0,1000+,1000+
Oklahoma Wesleyan University,2335.0,187.0,22252.0,34960.0,1000+,1000+
University of Central Oklahoma,10432.0,2223.0,5437.0,25407.0,1000+,1000+
East Central University,968.0,612.0,5241.0,20465.0,1000+,1000+
Northeastern State University,1889.0,847.0,4992.0,21318.0,1000+,1000+
Northwestern Oklahoma State University,888.0,437.0,5642.0,20644.0,1000+,1000+
Oklahoma Christian University,1984.0,533.0,18800.0,29825.0,1000+,1000+
Oklahoma Panhandle State University,858.0,289.0,6739.0,15888.0,1000+,1000+
Oklahoma State University-Main Campus,11064.0,3872.0,7442.0,34427.0,1000+,1000+
Oklahoma Baptist University,6560.0,580.0,21842.0,33400.0,1000+,1000+
Oklahoma City University,1442.0,351.0,29426.0,44356.0,1000+,1000+
University of Oklahoma-Norman Campus,10991.0,4052.0,8916.0,35630.0,1000+,1000+
Oral Roberts University,1417.0,399.0,22508.0,36950.0,1000+,1000+
Rogers State University,1864.0,785.0,5349.0,25105.0,1000+,1000+
Saint Gregory's University,602.0,127.0,20595.0,33389.0,1000+,1000+
University of Science and Arts of Oklahoma,594.0,150.0,4866.0,19538.0,1000+,1000+
Southeastern Oklahoma State University,1001.0,538.0,5315.0,23170.0,1000+,1000+
Southwestern Christian University,405.0,254.0,14220.0,26470.0,1000+,1000+
Southwestern Oklahoma State University,2536.0,913.0,5460.0,23973.0,1000+,1000+
University of Tulsa,7304.0,856.0,34835.0,51035.0,1000+,1000+
Concordia University-Portland,1790.0,217.0,27492.0,39022.0,1000+,1000+
Eastern Oregon University,1503.0,426.0,7530.0,30315.0,1000+,1000+
George Fox University,2431.0,624.0,31120.0,43800.0,1000+,1000+
Lewis & Clark College,6458.0,473.0,41928.0,55666.0,1000+,1000+
Linfield College-McMinnville Campus,2139.0,449.0,36310.0,48182.0,1000+,1000+
Northwest Christian University,318.0,82.0,24930.0,37470.0,1000+,1000+
Oregon Institute of Technology,2778.0,363.0,8548.0,34803.0,1000+,1000+
Oregon State University,12414.0,3516.0,8322.0,38751.0,201-300,top 1000
University of Oregon,21263.0,4031.0,9763.0,44377.0,301-400,top 1000
Pacific University,2658.0,421.0,37024.0,50486.0,1000+,1000+
Portland State University,5751.0,1465.0,7878.0,38738.0,901-1000,top 1000
University of Portland,9523.0,835.0,38670.0,53958.0,1000+,1000+
Reed College,2893.0,354.0,46010.0,59630.0,1000+,1000+
Southern Oregon University,2615.0,673.0,7438.0,33829.0,1000+,1000+
Warner Pacific College,948.0,85.0,19770.0,32166.0,1000+,1000+
Corban University,2896.0,222.0,27431.0,40407.0,1000+,1000+
Willamette University,8109.0,545.0,42305.0,54813.0,1000+,1000+
Western Oregon University,2848.0,1026.0,8634.0,35706.0,1000+,1000+
Bryn Athyn College of the New Church,396.0,81.0,17724.0,29734.0,1000+,1000+
Albright College,6060.0,655.0,36660.0,49160.0,1000+,1000+
Allegheny College,4512.0,604.0,39100.0,52020.0,1000+,1000+
DeSales University,2624.0,416.0,31250.0,48398.0,1000+,1000+
Alvernia University,1792.0,389.0,29060.0,43250.0,1000+,1000+
Arcadia University,9608.0,597.0,36810.0,51970.0,1000+,1000+
Bloomsburg University of Pennsylvania,9248.0,2218.0,8582.0,32306.0,1000+,1000+
Bryn Mawr College,2708.0,365.0,43900.0,59760.0,1000+,1000+
Bucknell University,7947.0,933.0,46902.0,61060.0,1000+,1000+
Cabrini College,2127.0,304.0,29000.0,45322.0,1000+,1000+
California University of Pennsylvania,3022.0,1154.0,9239.0,28712.0,1000+,1000+
Carlow University,669.0,206.0,25416.0,38450.0,1000+,1000+
Carnegie Mellon University,18884.0,1442.0,47642.0,62032.0,101-150,top 1000
Cedar Crest College,1063.0,141.0,33000.0,45021.0,1000+,1000+
Chatham University,594.0,92.0,32454.0,46162.0,1000+,1000+
Chestnut Hill College,1829.0,192.0,31170.0,44378.0,1000+,1000+
Clarion University of Pennsylvania,2071.0,1072.0,9404.0,25953.0,1000+,1000+
Delaware Valley College,1895.0,416.0,32890.0,47467.0,1000+,1000+
Dickinson College,5826.0,625.0,46094.0,60183.0,1000+,1000+
Drexel University,43945.0,3040.0,37505.0,57870.0,301-400,top 1000
Duquesne University,6793.0,1547.0,31385.0,44567.0,1000+,1000+
East Stroudsburg University of Pennsylvania,5621.0,1210.0,8991.0,30990.0,1000+,1000+
Eastern University,1821.0,459.0,28090.0,42192.0,1000+,1000+
Edinboro University of Pennsylvania,3187.0,1191.0,8849.0,24139.0,1000+,1000+
Elizabethtown College,3815.0,530.0,38200.0,49650.0,1000+,1000+
Franklin and Marshall College,5174.0,599.0,46285.0,60765.0,1000+,1000+
Gannon University,3983.0,622.0,27546.0,41820.0,1000+,1000+
Geneva College,1670.0,334.0,25220.0,36520.0,1000+,1000+
Gettysburg College,5453.0,703.0,45870.0,58320.0,1000+,1000+
Gwynedd Mercy University,1232.0,211.0,29450.0,42030.0,1000+,1000+
Haverford College,3585.0,330.0,45426.0,61898.0,1000+,1000+
Holy Family University,1350.0,297.0,27100.0,41960.0,1000+,1000+
Immaculata University,1650.0,247.0,30740.0,49130.0,1000+,1000+
Indiana University of Pennsylvania-Main Campus,9367.0,2741.0,9080.0,35056.0,1000+,1000+
Juniata College,2227.0,391.0,37170.0,49220.0,1000+,1000+
Keystone College,1120.0,321.0,21300.0,35500.0,1000+,1000+
King's College,2780.0,500.0,30310.0,45468.0,1000+,1000+
Kutztown University of Pennsylvania,7785.0,1815.0,8819.0,32389.0,1000+,1000+
La Roche College,1488.0,229.0,24778.0,38434.0,1000+,1000+
La Salle University,5547.0,939.0,38200.0,51770.0,1000+,1000+
Lafayette College,6766.0,635.0,44670.0,59750.0,1000+,1000+
Lebanon Valley College,3793.0,415.0,35700.0,48630.0,1000+,1000+
Lehigh University,12589.0,1198.0,43520.0,57145.0,801-900,top 1000
Lincoln University of Pennsylvania,3240.0,448.0,9804.0,28519.0,1000+,1000+
Lock Haven University,3744.0,1052.0,8899.0,29998.0,1000+,1000+
Lycoming College,1737.0,347.0,33746.0,46707.0,1000+,1000+
Mansfield University of Pennsylvania,2023.0,629.0,9192.0,32558.0,1000+,1000+
Marywood University,2021.0,407.0,30690.0,46556.0,1000+,1000+
Mercyhurst University,2938.0,600.0,30300.0,44838.0,1000+,1000+
Messiah College,2836.0,648.0,30470.0,42990.0,1000+,1000+
Millersville University of Pennsylvania,5455.0,1299.0,8866.0,31433.0,1000+,1000+
Misericordia University,2125.0,435.0,28210.0,41940.0,1000+,1000+
Moravian College,1636.0,356.0,35518.0,49090.0,1000+,1000+
Mount Aloysius College,1546.0,379.0,20268.0,34598.0,1000+,1000+
Muhlenberg College,5152.0,579.0,42755.0,55370.0,1000+,1000+
Neumann University,3397.0,503.0,24948.0,39475.0,1000+,1000+
Pennsylvania State University-Penn State Erie-Behrend College,3437.0,1080.0,14240.0,37902.0,1000+,1000+
Pennsylvania State University-Penn State Altoona,5700.0,1379.0,14240.0,37902.0,1000+,1000+
Pennsylvania State University-Penn State Beaver,670.0,208.0,13470.0,36676.0,1000+,1000+
Pennsylvania State University-Penn State Berks,2570.0,814.0,14240.0,37902.0,1000+,1000+
Pennsylvania State University-Penn State Harrisburg,2792.0,628.0,14240.0,37902.0,1000+,1000+
Pennsylvania State University-Penn State Hazleton,1179.0,433.0,13550.0,36826.0,1000+,1000+
Pennsylvania State University-Main Campus,47552.0,7649.0,16992.0,46166.0,1000+,1000+
Pennsylvania State University-Penn State Greater Allegheny,699.0,201.0,13464.0,36670.0,1000+,1000+
Pennsylvania State University-Penn State Mont Alto,827.0,325.0,13470.0,36676.0,1000+,1000+
Pennsylvania State University-Penn State Schuylkill,693.0,248.0,13550.0,36826.0,1000+,1000+
University of Pennsylvania,31282.0,2421.0,45890.0,61800.0,15,top 1000
Philadelphia University,5396.0,550.0,33690.0,49426.0,1000+,1000+
Cairn University-Langhorne,610.0,155.0,22455.0,34090.0,1000+,1000+
University of Pittsburgh-Bradford,940.0,379.0,13078.0,36246.0,1000+,1000+
University of Pittsburgh-Greensburg,1262.0,394.0,13128.0,37318.0,1000+,1000+
University of Pittsburgh-Johnstown,1570.0,772.0,13130.0,36866.0,1000+,1000+
University of Pittsburgh-Pittsburgh Campus,24871.0,3678.0,17100.0,42132.0,82,top 1000
Point Park University,3237.0,548.0,26170.0,39800.0,1000+,1000+
Robert Morris University,5689.0,998.0,25114.0,40755.0,1000+,1000+
Rosemont College,1014.0,112.0,30950.0,46305.0,1000+,1000+
Saint Francis University,1679.0,403.0,29992.0,45038.0,1000+,1000+
Saint Joseph's University,7831.0,1275.0,39040.0,54772.0,1000+,1000+
Saint Vincent College,2035.0,472.0,30350.0,42838.0,1000+,1000+
University of Scranton,9087.0,881.0,38754.0,55008.0,1000+,1000+
Seton Hill University,2414.0,386.0,30300.0,43900.0,1000+,1000+
Shippensburg University of Pennsylvania,5949.0,1520.0,9448.0,32514.0,1000+,1000+
Slippery Rock University of Pennsylvania,5475.0,1409.0,9027.0,25634.0,1000+,1000+
Susquehanna University,3217.0,589.0,38780.0,51400.0,1000+,1000+
Swarthmore College,6615.0,388.0,44718.0,60671.0,701-800,top 1000
Temple University,18813.0,4390.0,14096.0,39658.0,401-500,top 1000
Thiel College,2519.0,303.0,26802.0,41078.0,1000+,1000+
Ursinus College,3947.0,425.0,44530.0,58880.0,1000+,1000+
Valley Forge Christian College,451.0,148.0,19394.0,31026.0,1000+,1000+
Villanova University,14966.0,1659.0,44430.0,58736.0,1000+,1000+
Washington & Jefferson College,7176.0,326.0,39710.0,51690.0,1000+,1000+
Waynesburg University,1962.0,410.0,20540.0,31500.0,1000+,1000+
West Chester University of Pennsylvania,13424.0,2298.0,8850.0,35814.0,1000+,1000+
Westminster College,3378.0,309.0,32445.0,43805.0,1000+,1000+
Widener University-Main Campus,5461.0,828.0,38028.0,54019.0,1000+,1000+
Wilkes University,2998.0,596.0,30350.0,46786.0,1000+,1000+
Wilson College,450.0,76.0,29370.0,41963.0,1000+,1000+
York College Pennsylvania,9934.0,1064.0,17010.0,29790.0,1000+,1000+
Brown University,28919.0,1543.0,45612.0,60460.0,99,top 1000
Bryant University,6013.0,890.0,37234.0,53598.0,1000+,1000+
Johnson & Wales University-Providence,12364.0,2093.0,27456.0,41461.0,1000+,1000+
Providence College,9660.0,1027.0,43245.0,57625.0,1000+,1000+
Rhode Island College,4492.0,1071.0,7602.0,30751.0,1000+,1000+
University of Rhode Island,19824.0,2993.0,12450.0,42448.0,901-1000,top 1000
Roger Williams University,9021.0,1104.0,31668.0,49394.0,1000+,1000+
Salve Regina University,5070.0,465.0,34950.0,49950.0,1000+,1000+
Anderson University,2190.0,502.0,22790.0,37014.0,1000+,1000+
Charleston Southern University,3640.0,656.0,22090.0,35740.0,1000+,1000+
Southern Wesleyan University,698.0,158.0,22200.0,33750.0,1000+,1000+
College of Charleston,11509.0,2138.0,10626.0,43120.0,1000+,1000+
Citadel Military College of South Carolina,2557.0,676.0,10838.0,44243.0,1000+,1000+
Claflin University,4354.0,435.0,15010.0,32300.0,1000+,1000+
Clemson University,18500.0,3463.0,13054.0,45936.0,601-700,top 1000
Coker College,1273.0,247.0,24579.0,34689.0,1000+,1000+
Columbia International University,302.0,103.0,18930.0,32130.0,1000+,1000+
Columbia College,457.0,128.0,26800.0,39316.0,1000+,1000+
Converse College,1565.0,237.0,29124.0,42094.0,1000+,1000+
Erskine College,750.0,194.0,31580.0,47610.0,1000+,1000+
Francis Marion University,3951.0,744.0,9386.0,29901.0,1000+,1000+
Furman University,5953.0,759.0,43164.0,57276.0,1000+,1000+
Lander University,3349.0,569.0,10100.0,31336.0,1000+,1000+
Limestone College,2424.0,451.0,22080.0,36416.0,1000+,1000+
Newberry College,887.0,238.0,23800.0,40365.0,1000+,1000+
North Greenville University,1782.0,505.0,14772.0,30000.0,1000+,1000+
Presbyterian College,1650.0,296.0,33650.0,46378.0,1000+,1000+
University of South Carolina-Aiken,2620.0,526.0,9308.0,30733.0,1000+,1000+
University of South Carolina-Beaufort,1387.0,410.0,8972.0,31248.0,1000+,1000+
University of South Carolina-Columbia,23429.0,4625.0,10816.0,42516.0,1000+,1000+
Coastal Carolina University,10993.0,2206.0,9760.0,35666.0,1000+,1000+
South Carolina State University,4499.0,569.0,9776.0,35378.0,1000+,1000+
University of South Carolina-Upstate,3066.0,806.0,10198.0,32832.0,1000+,1000+
Voorhees College,2726.0,146.0,10780.0,19876.0,1000+,1000+
Winthrop University,4285.0,1096.0,13670.0,38020.0,1000+,1000+
Wofford College,2718.0,415.0,35515.0,49449.0,1000+,1000+
Augustana College,1147.0,367.0,28630.0,38200.0,1000+,1000+
Black Hills State University,957.0,619.0,7617.0,19862.0,1000+,1000+
Dakota State University,781.0,318.0,7506.0,20048.0,1000+,1000+
Dakota Wesleyan University,665.0,168.0,22700.0,33060.0,1000+,1000+
Mount Marty College,402.0,117.0,22892.0,34802.0,1000+,1000+
Northern State University,1157.0,410.0,7563.0,20920.0,1000+,1000+
Presentation College,401.0,131.0,17014.0,28914.0,1000+,1000+
South Dakota State University,4851.0,2306.0,7713.0,21528.0,901-1000,top 1000
University of Sioux Falls,1385.0,237.0,24550.0,35780.0,1000+,1000+
University of South Dakota,3606.0,1342.0,8022.0,22265.0,1000+,1000+
Aquinas College,119.0,36.0,20550.0,35933.0,1000+,1000+
Austin Peay State University,3332.0,1522.0,6876.0,36009.0,1000+,1000+
Belmont University,5111.0,1248.0,27380.0,43030.0,1000+,1000+
Bethel University,2669.0,637.0,15714.0,30196.0,1000+,1000+
Bryan College-Dayton,1151.0,187.0,21150.0,31075.0,1000+,1000+
Carson-Newman University,3916.0,481.0,23696.0,34100.0,1000+,1000+
Christian Brothers University,1943.0,254.0,28210.0,38113.0,1000+,1000+
Cumberland University,795.0,212.0,20200.0,34130.0,1000+,1000+
Lipscomb University,3467.0,684.0,26094.0,40448.0,1000+,1000+
East Tennessee State University,4721.0,1881.0,7249.0,38919.0,1000+,1000+
Fisk University,3334.0,226.0,20449.0,35899.0,1000+,1000+
Freed-Hardeman University,1042.0,356.0,20468.0,32908.0,1000+,1000+
King University,933.0,210.0,24960.0,37758.0,1000+,1000+
Lane College,4589.0,405.0,9180.0,18900.0,1000+,1000+
Le Moyne-Owen College,1242.0,190.0,10680.0,18540.0,1000+,1000+
Lee University,1689.0,812.0,13750.0,26100.0,1000+,1000+
Lincoln Memorial University,975.0,191.0,19490.0,32620.0,1000+,1000+
Maryville College,2196.0,349.0,31132.0,44472.0,1000+,1000+
University of Memphis,5990.0,2134.0,8312.0,38247.0,1000+,1000+
Middle Tennessee State University,9845.0,3276.0,7546.0,36274.0,1000+,1000+
Milligan College,612.0,206.0,27916.0,38266.0,1000+,1000+
Rhodes College,3555.0,545.0,39794.0,53422.0,1000+,1000+
Sewanee-The University of the South,3285.0,488.0,35756.0,47970.0,1000+,1000+
Southern Adventist University,2313.0,490.0,19790.0,30874.0,1000+,1000+
Tennessee Wesleyan College,791.0,208.0,21800.0,31400.0,1000+,1000+
The University of Tennessee-Chattanooga,7628.0,2342.0,7554.0,35736.0,1000+,1000+
The University of Tennessee-Knoxville,14396.0,4276.0,11194.0,45940.0,1000+,1000+
The University of Tennessee-Martin,3640.0,1308.0,7507.0,32453.0,1000+,1000+
Tennessee Technological University,4973.0,2176.0,7063.0,37963.0,1000+,1000+
Trevecca Nazarene University,930.0,259.0,22330.0,33322.0,1000+,1000+
Tusculum College,2825.0,310.0,22250.0,35702.0,1000+,1000+
Union University,1932.0,452.0,26880.0,44220.0,1000+,1000+
Vanderbilt University,31099.0,1613.0,42978.0,61112.0,64,top 1000
Abilene Christian University,10188.0,1030.0,28350.0,41800.0,1000+,1000+
Angelo State University,2599.0,1220.0,6559.0,27411.0,1000+,1000+
Austin College,3141.0,364.0,33830.0,47625.0,1000+,1000+
Baylor University,29249.0,3190.0,35972.0,53886.0,501-600,top 1000
Concordia University-Texas,1680.0,192.0,25880.0,38420.0,1000+,1000+
Texas A & M University-Corpus Christi,7091.0,2051.0,7172.0,29107.0,1000+,1000+
Dallas Baptist University,2631.0,492.0,22350.0,34176.0,1000+,1000+
University of Dallas,1224.0,380.0,33110.0,48710.0,1000+,1000+
East Texas Baptist University,709.0,345.0,22590.0,32160.0,1000+,1000+
Texas A & M University-Texarkana,830.0,187.0,5578.0,24502.0,1000+,1000+
Texas A & M University-Commerce,4236.0,943.0,6583.0,25487.0,1000+,1000+
Hardin-Simmons University,2091.0,415.0,23460.0,33626.0,1000+,1000+
Houston Baptist University,5872.0,1135.0,27930.0,39001.0,1000+,1000+
University of Houston-Victoria,3128.0,310.0,6248.0,28738.0,1000+,1000+
University of Houston,17407.0,3434.0,8401.0,30959.0,201-300,top 1000
Howard Payne University,1585.0,347.0,23200.0,33853.0,1000+,1000+
Huston-Tillotson University,1778.0,211.0,13494.0,27044.0,1000+,1000+
University of the Incarnate Word,4072.0,1045.0,24790.0,39124.0,1000+,1000+
Lamar University,4788.0,1451.0,7429.0,30265.0,1000+,1000+
Texas A & M International University,4784.0,828.0,5818.0,25862.0,1000+,1000+
LeTourneau University,1810.0,335.0,25740.0,38775.0,1000+,1000+
Lubbock Christian University,783.0,255.0,18740.0,30966.0,1000+,1000+
University of Mary Hardin-Baylor,5540.0,675.0,25200.0,36180.0,1000+,1000+
McMurry University,1396.0,250.0,24296.0,36421.0,1000+,1000+
Midwestern State University,3023.0,847.0,7665.0,19854.0,1000+,1000+
University of North Texas,18299.0,4617.0,8745.0,28728.0,401-500,top 1000
Our Lady of the Lake University,3789.0,341.0,23938.0,37078.0,1000+,1000+
The University of Texas-Pan American,9313.0,3102.0,5173.0,24741.0,1000+,1000+
Paul Quinn College,632.0,70.0,13525.0,26300.0,1000+,1000+
Prairie View A & M University,10747.0,1464.0,6764.0,26178.0,1000+,1000+
Rice University,15415.0,978.0,38941.0,54291.0,101-150,top 1000
Saint Edward's University,3694.0,791.0,33720.0,47500.0,1000+,1000+
University of St Thomas,782.0,237.0,28240.0,41486.0,1000+,1000+
Sam Houston State University,9315.0,2413.0,7022.0,28520.0,1000+,1000+
Schreiner University,894.0,299.0,22484.0,35509.0,1000+,1000+
St Mary's University,5147.0,596.0,25126.0,38192.0,1000+,1000+
Southern Methodist University,12080.0,1431.0,43800.0,61355.0,701-800,top 1000
